com.samsung.shealth.tracker.pedometer_day_summary,6212007,5
step_count,binning_data,active_time,recommendation,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
8499,2422a257-5fa1-4363-b56a-2033c3fa13f9.binning_data.json,4350551,6000,1107,2022-04-16 08:04:07.475,com.sec.android.app.shealth,2022-04-15 06:06:20.271,2422a257-5fa1-4363-b56a-2033c3fa13f9.source_info.json,1.5739253,6847.4424,401.33395,7392,VfS0qUERdZ,com.sec.android.app.shealth,0,2422a257-5fa1-4363-b56a-2033c3fa13f9.achievement.json,2422a257-5fa1-4363-b56a-2033c3fa13f9,1649980800000,
1753,bbc43d5b-ed88-48f7-b587-4d2f5bd5ff0b.binning_data.json,1018222,6000,7,2022-04-16 23:30:29.618,com.sec.android.app.shealth,2022-04-16 07:36:52.105,bbc43d5b-ed88-48f7-b587-4d2f5bd5ff0b.source_info.json,1.3077612,1331.592,72.37151,1746,VfS0qUERdZ,com.sec.android.app.shealth,0,bbc43d5b-ed88-48f7-b587-4d2f5bd5ff0b.achievement.json,bbc43d5b-ed88-48f7-b587-4d2f5bd5ff0b,1650067200000,
3032,08cc4bcc-cbb8-4540-90fb-e3104a75a229.binning_data.json,1806185,6000,8,2022-04-21 22:00:02.214,com.sec.android.app.shealth,2022-04-21 22:00:02.214,,1.2776155,2307.6099,124.26999,3024,3JD7PDJoKB,com.sec.android.app.shealth,0,08cc4bcc-cbb8-4540-90fb-e3104a75a229.achievement.json,08cc4bcc-cbb8-4540-90fb-e3104a75a229,1650499200000,
11052,a4c2c101-31c1-467f-83e4-0bca66bb3f42.binning_data.json,6221556,6000,9,2022-04-24 22:00:47.664,com.sec.android.app.shealth,2022-04-23 22:00:10.415,,1.3549674,8430.005,454.10892,11043,SumqgnI0Fz,com.sec.android.app.shealth,0,a4c2c101-31c1-467f-83e4-0bca66bb3f42.achievement.json,a4c2c101-31c1-467f-83e4-0bca66bb3f42,1650672000000,
13334,9b608c71-a1ff-418b-82e2-593557d4fa07.binning_data.json,7876433,6000,30,2022-04-26 10:43:19.721,com.sec.android.app.shealth,2022-04-24 22:00:45.628,9b608c71-a1ff-418b-82e2-593557d4fa07.source_info.json,1.2827559,10103.541,547.1106,13304,VfS0qUERdZ,com.sec.android.app.shealth,0,9b608c71-a1ff-418b-82e2-593557d4fa07.achievement.json,9b608c71-a1ff-418b-82e2-593557d4fa07,1650844800000,
8699,b012b54e-9b4a-4d02-a241-18e858b93b3e.binning_data.json,4473738,6000,1105,2022-04-27 22:00:05.518,com.sec.android.app.shealth,2022-04-26 22:45:15.504,,1.5507058,6937.4517,404.06955,7594,SumqgnI0Fz,com.sec.android.app.shealth,0,b012b54e-9b4a-4d02-a241-18e858b93b3e.achievement.json,b012b54e-9b4a-4d02-a241-18e858b93b3e,1650931200000,
3063,5d2277f9-40f3-4313-888f-38d34df087b9.binning_data.json,1774844,6000,53,2022-04-17 22:27:05.426,com.sec.android.app.shealth,2022-04-16 23:02:36.119,5d2277f9-40f3-4313-888f-38d34df087b9.source_info.json,1.317346,2338.0845,130.43367,3010,VfS0qUERdZ,com.sec.android.app.shealth,0,5d2277f9-40f3-4313-888f-38d34df087b9.achievement.json,5d2277f9-40f3-4313-888f-38d34df087b9,1650153600000,
8917,150a872d-325a-4daf-8f30-9ad2c85458a3.binning_data.json,5304720,6000,9,2022-04-26 22:45:15.526,com.sec.android.app.shealth,2022-04-26 22:45:15.526,,1.2610583,6689.5615,367.1612,8908,SumqgnI0Fz,com.sec.android.app.shealth,0,150a872d-325a-4daf-8f30-9ad2c85458a3.achievement.json,150a872d-325a-4daf-8f30-9ad2c85458a3,1650844800000,
11813,45217ecf-e841-4f1a-8968-472158370d2d.binning_data.json,6450778,6000,1094,2022-04-22 22:07:13.804,com.sec.android.app.shealth,2022-04-22 22:07:13.804,,1.4279768,9211.5625,531.46857,10719,SumqgnI0Fz,com.sec.android.app.shealth,0,45217ecf-e841-4f1a-8968-472158370d2d.achievement.json,45217ecf-e841-4f1a-8968-472158370d2d,1650585600000,
14028,38861768-3502-49c0-86ea-53632ad1d192.binning_data.json,8070655,6000,19,2022-04-18 21:25:20.508,com.sec.android.app.shealth,2022-04-17 22:06:41.075,38861768-3502-49c0-86ea-53632ad1d192.source_info.json,1.3232472,10679.473,576.28534,14009,VfS0qUERdZ,com.sec.android.app.shealth,0,38861768-3502-49c0-86ea-53632ad1d192.achievement.json,38861768-3502-49c0-86ea-53632ad1d192,1650240000000,
