com.samsung.health.food_info,6212007,6
potassium,vitamin_a,vitamin_c,vitamin_d,cholesterol,description,custom,provider_food_id,metric_serving_amount,sodium,dietary_fiber,total_fat,update_time,create_time,monosaturated_fat,protein,polysaturated_fat,iron,name,sugar,added_sugar,calcium,calorie,serving_description,info_provider,deviceuuid,metric_serving_unit,saturated_fat,trans_fat,pkg_name,carbohydrate,unit_count_per_calorie,datauuid,default_number_of_serving_unit
99.0,0.0,0.33333334,0.0,0.0,"333 kcal, per 100g",,fatsecret-38346,17,50.0,,3.03,2022-04-11 18:49:04.593,2022-04-11 18:49:04.593,1.729,2.26,0.707,3.2222223,Falafel,,,0.6923077,57.0,"fettina (circa 5,5 cm di diametro)",,3JD7PDJoKB,g,0.405,,com.sec.android.app.shealth,5.41,0.2982456,d3af660d-01e7-46ac-8304-ffbef9aaa791,1,
236.0,1.5555556,5.111111,0.0,0.0,"978 kcal, per 845g",,fatsecret-8442925,100,232.0,2.0,1.88,2022-04-13 07:10:15.430,2022-04-07 19:06:45.464,0.813,4.14,0.577,7.888889,Pasta al Sugo,2.75,,1.3076923,116.0,g,,3JD7PDJoKB,g,0.226,0.004,com.sec.android.app.shealth,21.04,0.8633093,bd7b9838-4e95-4ce9-8949-14a3c9e2f935,100,
,0.0,0.0,0.0,,"69 kcal, per 100g",,fatsecret-16066935,100,10.0,0.0,3.5,2022-04-12 07:14:07.869,2022-04-12 07:14:07.869,,4.0,,0.0,Yogurt Intero Bianco(Colle Maggio),4.8,,0.0,69.0,porzione,,3JD7PDJoKB,g,2.4,,com.sec.android.app.shealth,4.8,1.4492754,ddfbe850-ae68-4a67-af3a-f48a5ea89a9b,1,
,0.0,0.0,0.0,,"65 kcal, per 100g",,fatsecret-39589791,100,0.0,1.0,0.1,2022-04-08 09:06:09.866,2022-04-08 09:06:09.866,,0.2,,0.0,Nettare di Mela e Banana(Primia),15.1,,0.0,65.0,porzione,,3JD7PDJoKB,g,0.0,,com.sec.android.app.shealth,15.3,1.5384616,dd8d1d67-1535-4793-aa83-8a126ff4b3df,1,
255.0,3.1111112,3.2222223,0.0,116.0,"219 kcal, per 100g",,fatsecret-1803,100,219.0,0.0,12.95,2022-04-09 11:07:03.986,2022-04-09 11:07:03.986,5.439,23.8,2.722,32.72222,Colomba,0.0,,1.3076923,218.0,g,,3JD7PDJoKB,g,3.723,,com.sec.android.app.shealth,0.0,0.46153846,87e9771c-1090-433a-8682-07532803f02d,100,
531.0,0.11111111,10.555555,0.0,0.0,"160 kcal, per 174g",,fatsecret-5723,100,277.0,2.2,0.13,2022-04-14 14:30:00.353,2022-04-14 08:31:51.158,0.003,2.48,0.058,6.0000005,Patate al Forno,1.17,,1.1538461,92.0,g,,3JD7PDJoKB,g,0.035,,com.sec.android.app.shealth,21.0,1.0866141,2b876055-4ea0-4a5a-bb79-b45e71ea6222,100,
408.0,26.444445,2.0,40.0,100.0,"2168 kcal, per 788g",,fatsecret-7459433,240,678.0,3.6,30.88,2022-04-10 07:56:05.721,2022-04-10 07:56:05.721,11.388,22.57,2.967,23.888891,Pasta Panna e Salmone,2.51,,12.846154,660.0,tazza,,3JD7PDJoKB,g,14.511,,com.sec.android.app.shealth,72.59,0.36363637,2690c9a7-34b5-4855-8f95-d62d30fa3192,1,
112.0,0.0,0.0,0.0,0.0,"365 kcal, per 103g",,fatsecret-8438459,100,194.0,1.3,0.64,2022-04-15 19:53:56.041,2022-04-14 14:30:00.355,0.201,6.96,0.173,4.3333335,Riso,0.12,,2.0769231,356.0,g,,3JD7PDJoKB,g,0.176,,com.sec.android.app.shealth,78.0,0.28063944,d595c1ce-6f48-47a2-b792-7be5a6718553,100,
45.0,0.0,0.0,0.0,0.0,"158 kcal, per 101g",,fatsecret-292098,100,233.0,1.8,0.92,2022-04-10 12:32:40.808,2022-04-10 12:32:40.808,0.13,5.77,0.317,7.3333335,Fettuccine,0.56,,0.53846157,157.0,g,,3JD7PDJoKB,g,0.175,,com.sec.android.app.shealth,30.68,0.6363636,fac3b80b-a34c-4490-b253-560650423e78,100,
134.0,2.1111112,2.2222223,0.0,13.0,"2997 kcal, per 1162g",,fatsecret-5424166,90,430.0,1.4,8.3,2022-04-15 19:53:56.072,2022-04-15 19:53:56.072,3.756,8.54,0.876,11.777777,Pizzetta,1.3,,8.153846,232.0,pizzetta,,3JD7PDJoKB,g,3.111,0.022,com.sec.android.app.shealth,30.27,0.38793105,d4ed5b0a-3f72-4cda-a1bc-176d595f0169,1,
,0.0,0.0,0.0,,"40 kcal, per 100g",,fatsecret-9235013,100,100.0,,0.1,2022-04-11 06:01:03.613,2022-04-11 06:01:03.613,,4.0,,0.0,Yogurt Magro Bianco(Pam Panorama),5.1,,0.0,40.0,porzione,,3JD7PDJoKB,g,0.07,,com.sec.android.app.shealth,5.1,2.5,3f0fd6fa-104b-47db-a79b-742cdd4b4cb6,1,
41.0,0.8888889,0.7777778,0.0,3.0,"2882 kcal, per 1181g",,fatsecret-6120640,30,150.0,0.4,2.79,2022-04-11 19:00:20.123,2022-04-11 19:00:20.123,1.257,2.79,0.353,3.6666667,Pizzetta Sfoglia,0.44,,3.5384614,73.0,pizzetta,,3JD7PDJoKB,g,1.006,,com.sec.android.app.shealth,9.13,0.41095892,c1ad1a8e-fbbc-4ca2-aad6-f3de727fe894,1,
