com.samsung.shealth.activity.day_summary,6212007,2
step_count,active_time,target,others_time,update_time,create_time,goal,longest_active_time,score,distance,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
16935,14287212,90,4805171,2022-04-07 05:44:02.075,2022-04-05 22:00:01.086,-1,4805171,263,13336.38,1195.626,cfd1a8a6-1898-4d07-9248-47d0f12f478c.extra_data.json,3JD7PDJoKB,723000,com.sec.android.app.shealth,8759041,27960000,cfd1a8a6-1898-4d07-9248-47d0f12f478c,1649203200000,
0,0,90,0,2022-04-01 13:57:46.952,2022-04-01 13:57:46.952,-1,0,0,0.0,0.0,04a7072a-d0e0-4bd9-aded-bfb1b78b9e7f.extra_data.json,3JD7PDJoKB,0,com.sec.android.app.shealth,0,-1,04a7072a-d0e0-4bd9-aded-bfb1b78b9e7f,1648771200000,
0,0,90,0,2022-04-01 13:57:47.321,2022-04-01 13:57:47.321,-1,0,0,0.0,0.0,b736667f-00ea-49bc-9e74-0d893dec4fff.extra_data.json,3JD7PDJoKB,0,com.sec.android.app.shealth,0,-1,b736667f-00ea-49bc-9e74-0d893dec4fff,1647475200000,
6379,4334109,90,0,2022-04-09 20:02:59.933,2022-04-08 22:00:00.349,-1,761211,80,4567.182,289.16925,d8505f85-56ef-40cb-b771-1ff2d0e9ae52.extra_data.json,3JD7PDJoKB,1200,com.sec.android.app.shealth,4332909,27360000,d8505f85-56ef-40cb-b771-1ff2d0e9ae52,1649462400000,
0,0,90,0,2022-04-01 13:57:47.568,2022-04-01 13:57:47.568,-1,0,0,0.0,0.0,3d021d98-88e0-410f-9426-c9716b86b461.extra_data.json,3JD7PDJoKB,0,com.sec.android.app.shealth,0,-1,3d021d98-88e0-410f-9426-c9716b86b461,1648339200000,
0,0,90,0,2022-04-01 13:57:47.507,2022-04-01 13:57:47.507,-1,0,0,0.0,0.0,981d9666-53b2-4a7c-95bf-79de1bb5f8a7.extra_data.json,3JD7PDJoKB,0,com.sec.android.app.shealth,0,-1,981d9666-53b2-4a7c-95bf-79de1bb5f8a7,1648080000000,
8499,9070011,90,5362822,2022-04-16 08:04:07.425,2022-04-14 22:00:00.589,-1,4546672,166,4297.0405,1195.5089,7e27b01f-62c3-42b6-90bb-554213cb13bf.extra_data.json,3JD7PDJoKB,0,com.sec.android.app.shealth,3707189,29160000,7e27b01f-62c3-42b6-90bb-554213cb13bf,1649980800000,
10236,9674296,90,5235476,2022-04-09 01:04:17.517,2022-04-07 22:00:01.663,-1,3992069,177,5408.0957,1128.9392,abb14dea-068e-4ca0-a2c2-56d9074c7f91.extra_data.json,3JD7PDJoKB,0,com.sec.android.app.shealth,4438820,30000000,abb14dea-068e-4ca0-a2c2-56d9074c7f91,1649376000000,
0,0,90,0,2022-04-01 13:57:46.973,2022-04-01 13:57:46.973,-1,0,0,0.0,0.0,ceda18a5-c6ea-4958-a408-165a5a4f0318.extra_data.json,3JD7PDJoKB,0,com.sec.android.app.shealth,0,-1,ceda18a5-c6ea-4958-a408-165a5a4f0318,1646438400000,
11497,7577970,90,0,2022-04-12 23:13:50.984,2022-04-11 22:00:00.482,-1,120000,140,8770.063,472.0115,00d6f01c-cb55-4930-b6e9-2472287d06c9.extra_data.json,3JD7PDJoKB,8000,com.sec.android.app.shealth,7569970,27900000,00d6f01c-cb55-4930-b6e9-2472287d06c9,1649721600000,
2955,2048723,90,0,2022-04-14 23:23:50.760,2022-04-13 22:00:01.349,-1,1434178,37,2228.598,170.44348,105f2b2a-80c2-4f83-903f-3458864a8d5e.extra_data.json,3JD7PDJoKB,2000,com.sec.android.app.shealth,2046723,21780000,105f2b2a-80c2-4f83-903f-3458864a8d5e,1649894400000,
14103,11400567,90,3666057,2022-04-12 06:26:15.634,2022-04-10 22:00:00.957,-1,3608287,210,10160.122,1250.8798,14d3e618-06ed-4784-91a7-147f7a662b68.extra_data.json,3JD7PDJoKB,439382,com.sec.android.app.shealth,7295128,25260000,14d3e618-06ed-4784-91a7-147f7a662b68,1649635200000,
3733,2328414,90,0,2022-04-21 22:00:14.318,2022-04-20 22:00:02.544,-1,420000,42,2847.5593,154.25005,5efa23c1-2411-4d15-af38-924b73c29f09.extra_data.json,3JD7PDJoKB,6400,com.sec.android.app.shealth,2322014,33240000,5efa23c1-2411-4d15-af38-924b73c29f09,1650499200000,
9516,6722639,90,0,2022-04-10 22:12:31.912,2022-04-09 22:48:38.124,-1,1711178,123,6927.8657,541.30493,db55fca3-772c-4a4b-a8d4-5434b99e4e3b.extra_data.json,3JD7PDJoKB,5600,com.sec.android.app.shealth,6717039,30300000,db55fca3-772c-4a4b-a8d4-5434b99e4e3b,1649548800000,
8954,5832862,90,0,2022-04-08 05:50:59.249,2022-04-06 22:00:00.598,-1,180000,107,6842.947,369.3902,75a346b4-b7f7-48af-a75f-661882b7fb72.extra_data.json,3JD7PDJoKB,6400,com.sec.android.app.shealth,5826462,26940000,75a346b4-b7f7-48af-a75f-661882b7fb72,1649289600000,
3063,2020836,90,0,2022-04-17 22:27:05.175,2022-04-16 22:00:00.521,-1,60000,36,2338.0842,130.43369,58421a6b-40d8-4154-bbe4-a50fff96c3b6.extra_data.json,3JD7PDJoKB,21200,com.sec.android.app.shealth,1999636,29820000,58421a6b-40d8-4154-bbe4-a50fff96c3b6,1650153600000,
14028,9299247,90,0,2022-04-18 21:25:22.296,2022-04-17 22:00:00.578,-1,120000,171,10679.474,576.28516,1f7739df-4eda-4377-b1b3-830195c97847.extra_data.json,3JD7PDJoKB,7600,com.sec.android.app.shealth,9291647,25440000,1f7739df-4eda-4377-b1b3-830195c97847,1650240000000,
20129,15959610,90,5105056,2022-04-20 23:46:51.335,2022-04-19 22:00:00.653,-1,4442295,294,12907.96,1568.6366,c15fdf73-5721-4a29-8b8c-e407d12c10e7.extra_data.json,3JD7PDJoKB,14073,com.sec.android.app.shealth,10840481,25380000,c15fdf73-5721-4a29-8b8c-e407d12c10e7,1650412800000,
18320,14823443,90,4975649,2022-04-13 22:55:36.015,2022-04-12 22:00:02.080,-1,5000666,273,11342.852,1552.078,a55f86c2-c5ad-4d6d-829e-f07d3450f966.extra_data.json,3JD7PDJoKB,39200,com.sec.android.app.shealth,9808594,25320000,a55f86c2-c5ad-4d6d-829e-f07d3450f966,1649808000000,
1753,1151314,90,0,2022-04-16 23:30:29.328,2022-04-15 22:00:00.759,-1,120000,21,1331.5919,72.3715,52333cc0-f511-400d-a961-3e69a215868d.extra_data.json,3JD7PDJoKB,2800,com.sec.android.app.shealth,1148514,34500000,52333cc0-f511-400d-a961-3e69a215868d,1650067200000,
12858,8432656,90,0,2022-04-29 00:38:06.177,2022-04-26 22:44:57.508,-1,1261647,155,9645.533,546.4886,3e86c4e1-37fe-4e00-af96-a45df7a400ad.extra_data.json,3JD7PDJoKB,400,com.sec.android.app.shealth,8432256,31500000,3e86c4e1-37fe-4e00-af96-a45df7a400ad,1651017600000,
12193,7931609,90,0,2022-04-23 22:37:00.253,2022-04-22 22:06:59.981,-1,1028186,145,9281.675,564.9944,494d8cc4-f73d-420e-8451-ee5ce248a3af.extra_data.json,3JD7PDJoKB,14800,com.sec.android.app.shealth,7916809,18720000,494d8cc4-f73d-420e-8451-ee5ce248a3af,1650672000000,
10033,10177969,90,5622282,2022-04-27 08:13:08.466,2022-04-25 22:00:00.443,-1,5622282,186,5431.897,1234.0925,7ebaf353-fd7c-45d7-85eb-2fbd07d52507.extra_data.json,3JD7PDJoKB,9600,com.sec.android.app.shealth,4546087,35280000,7ebaf353-fd7c-45d7-85eb-2fbd07d52507,1650931200000,
7109,4390351,90,0,2022-04-19 21:31:58.987,2022-04-18 22:00:01.325,-1,1080319,81,5437.8657,381.6702,d30b0a4d-4c0c-4515-b6d3-bfa404c7898d.extra_data.json,3JD7PDJoKB,0,com.sec.android.app.shealth,4390351,25980000,d30b0a4d-4c0c-4515-b6d3-bfa404c7898d,1650326400000,
13721,12705151,90,6155528,2022-04-22 21:55:25.752,2022-04-21 22:00:01.142,-1,4714569,233,7248.808,1471.981,995636b6-4c56-4c63-baa4-b8de27fab8fd.extra_data.json,3JD7PDJoKB,11200,com.sec.android.app.shealth,6538423,35640000,995636b6-4c56-4c63-baa4-b8de27fab8fd,1650585600000,
13633,8574217,90,0,2022-05-04 07:55:23.816,2022-05-02 22:07:56.412,-1,1115738,157,10506.021,584.73425,7cd9c631-6da7-4cff-98f3-7863719aba62.extra_data.json,3JD7PDJoKB,29242,com.sec.android.app.shealth,8544975,22320000,7cd9c631-6da7-4cff-98f3-7863719aba62,1651536000000,
