com.samsung.health.sleep_stage,6212007,6
start_time,sleep_id,custom,update_time,create_time,stage,time_offset,deviceuuid,pkg_name,end_time,datauuid
2022-05-21 12:27:00.000,0fbfd3d6-b6dc-46d0-9bb5-422b9700e34e,,2022-05-21 13:52:38.046,2022-05-21 13:52:38.046,40002,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-05-21 12:51:00.000,6f37454f-6cf5-40ec-b60a-5c9376ed2bc0,
2022-05-21 13:26:00.000,0fbfd3d6-b6dc-46d0-9bb5-422b9700e34e,,2022-05-21 13:52:38.052,2022-05-21 13:52:38.052,40001,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-05-21 13:33:00.000,4fa77543-018d-4445-9e28-68aff6ab7043,
2022-05-24 15:51:00.000,9ab50ae9-83b5-4877-96cf-9082858a18c1,,2022-05-24 16:43:53.889,2022-05-24 16:43:53.889,40003,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-05-24 15:54:00.000,443f4808-5818-40a3-9d48-7ac1ff842a8a,
2022-05-29 14:17:00.000,da9679b1-223d-4086-9012-7618532526cb,,2022-05-29 15:33:44.822,2022-05-29 15:33:44.822,40001,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-05-29 14:18:00.000,de3c5791-d460-4301-a6c9-b49acc5c8501,
2022-06-21 13:56:00.000,fe79ee2e-f313-40f0-a8a5-33f10c9bf156,,2022-06-21 15:30:31.141,2022-06-21 15:30:31.141,40002,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-06-21 14:08:00.000,5903bf53-60ca-427e-8b4c-5ffdfaf9c22b,
2022-06-21 14:54:00.000,fe79ee2e-f313-40f0-a8a5-33f10c9bf156,,2022-06-21 15:30:31.143,2022-06-21 15:30:31.143,40002,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-06-21 14:55:00.000,a4dcc6b0-2bfe-44b9-a9d9-b758eb1659eb,
2022-04-06 22:56:00.000,c8421746-397c-4776-bcce-cfdc988d0dbd,,2022-04-07 05:44:04.075,2022-04-07 05:44:04.075,40002,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-04-06 23:00:00.000,9e59ea96-78be-4a83-9827-fa6e728cd85a,
2022-04-06 23:29:00.000,c8421746-397c-4776-bcce-cfdc988d0dbd,,2022-04-07 05:44:04.076,2022-04-07 05:44:04.076,40002,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-04-06 23:42:00.000,969bee20-4104-4bff-9dfd-45ad4d80fe38,
2022-04-07 00:31:00.000,c8421746-397c-4776-bcce-cfdc988d0dbd,,2022-04-07 05:44:04.077,2022-04-07 05:44:04.077,40001,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-04-07 00:32:00.000,03ec4f99-af11-4bfc-bd38-e7602620b3e4,
2022-04-07 00:59:00.000,c8421746-397c-4776-bcce-cfdc988d0dbd,,2022-04-07 05:44:04.078,2022-04-07 05:44:04.078,40002,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-04-07 01:02:00.000,91b00460-b49a-4778-a80e-375ed454b551,
2022-04-07 01:43:00.000,c8421746-397c-4776-bcce-cfdc988d0dbd,,2022-04-07 05:44:04.079,2022-04-07 05:44:04.079,40002,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-04-07 01:57:00.000,d5fcce98-c8ad-4f2a-9457-45ac9beafcea,
2022-04-07 02:27:00.000,c8421746-397c-4776-bcce-cfdc988d0dbd,,2022-04-07 05:44:04.080,2022-04-07 05:44:04.080,40004,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-04-07 02:36:00.000,be3f9399-ed1f-4a0e-8c24-d994d212791e,
2022-04-07 02:52:00.000,c8421746-397c-4776-bcce-cfdc988d0dbd,,2022-04-07 05:44:04.080,2022-04-07 05:44:04.080,40002,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-04-07 03:14:00.000,b224f43f-a74b-4de1-bdff-9c936f2cc545,
2022-04-07 04:10:00.000,c8421746-397c-4776-bcce-cfdc988d0dbd,,2022-04-07 05:44:04.081,2022-04-07 05:44:04.081,40002,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-04-07 04:14:00.000,b6c28265-6a00-40b9-9c3a-927ea96290d7,
2022-04-14 13:32:00.000,8fc64f87-afc5-4a4c-9b01-726721eeb6c6,,2022-04-14 14:27:24.591,2022-04-14 14:27:24.591,40003,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-04-14 13:55:00.000,1967f55b-dc7e-4f66-8a0b-293cbecc2e2b,
2022-04-07 04:41:00.000,c8421746-397c-4776-bcce-cfdc988d0dbd,,2022-04-07 05:44:04.082,2022-04-07 05:44:04.082,40002,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-04-07 05:09:00.000,c0b2cef8-7c95-4416-a23a-a8724f211344,
2022-04-07 22:07:00.000,e9cff05c-9a39-4ebc-a69e-e540cd212ca3,,2022-04-08 05:51:03.658,2022-04-08 05:51:03.658,40002,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-04-07 22:19:00.000,74816d87-9393-40bf-8950-d7c599996286,
2022-04-16 15:47:00.000,6b397e4b-d423-4c83-b46c-f15a28b164d8,,2022-04-16 17:14:16.730,2022-04-16 17:14:16.730,40003,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-04-16 16:09:00.000,2051096e-bf3e-4602-b69f-8db3b394b22f,
2022-04-07 22:50:00.000,e9cff05c-9a39-4ebc-a69e-e540cd212ca3,,2022-04-08 05:51:03.659,2022-04-08 05:51:03.659,40001,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-04-07 22:51:00.000,7f2649b8-6bba-4ee6-8840-b339768e8bf5,
2022-04-07 23:19:00.000,e9cff05c-9a39-4ebc-a69e-e540cd212ca3,,2022-04-08 05:51:03.660,2022-04-08 05:51:03.660,40002,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-04-07 23:21:00.000,ead94c09-98a7-4cb9-acbf-09d99099a740,
2022-04-16 16:32:00.000,6b397e4b-d423-4c83-b46c-f15a28b164d8,,2022-04-16 17:14:16.735,2022-04-16 17:14:16.735,40001,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-04-16 16:56:00.000,4d57f7a6-edfa-40af-9af1-0325dbe213a6,
2022-04-08 00:24:00.000,e9cff05c-9a39-4ebc-a69e-e540cd212ca3,,2022-04-08 05:51:03.661,2022-04-08 05:51:03.661,40001,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-04-08 00:27:00.000,297a0004-0f95-48d4-9f79-3552072e48cd,
2022-04-08 01:03:00.000,e9cff05c-9a39-4ebc-a69e-e540cd212ca3,,2022-04-08 05:51:03.662,2022-04-08 05:51:03.662,40001,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-04-08 01:04:00.000,d5fc69b3-f01a-4787-972f-d06d6a942abc,
2022-04-17 13:11:00.000,de2b8434-64f0-4176-8d66-6a6f86c1f732,,2022-04-17 15:30:55.132,2022-04-17 15:30:55.132,40003,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-04-17 13:30:00.000,86f9911f-7bee-4ddc-91f4-839fa89f9a61,
2022-04-08 01:35:00.000,e9cff05c-9a39-4ebc-a69e-e540cd212ca3,,2022-04-08 05:51:03.663,2022-04-08 05:51:03.663,40004,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-04-08 01:53:00.000,1b70a38c-f6ac-484b-a868-e340683727fa,
