com.samsung.shealth.food_frequent,6212007,1
eveningsnack_count,update_time,create_time,morningsnack_count,dinner_count,breakfast_count,deviceuuid,pkg_name,afternoonsnack_count,datauuid,food_info_id,lunch_count
0.0,2022-04-06 10:39:15.764,2022-04-06 10:39:15.764,0.0,0.0,0.0,3JD7PDJoKB,com.sec.android.app.shealth,0.0,e4868793-f36b-47d4-95d5-510e5d172a1c,6d25932d-9b6d-404e-b84f-dbd10da28c1b,1.0,
1.0,2022-04-13 23:37:34.846,2022-04-13 23:37:34.846,0.0,0.0,0.0,3JD7PDJoKB,com.sec.android.app.shealth,0.0,e7231072-9d35-40f3-9031-c4baa50dc902,8a05eb0b-3cf9-4650-a98d-d464cb34cedc,0.0,
0.0,2022-04-13 07:10:15.445,2022-04-07 19:06:45.474,0.0,0.0,0.0,3JD7PDJoKB,com.sec.android.app.shealth,0.0,0f56abeb-174d-4227-836c-b3c9b362fbae,bd7b9838-4e95-4ce9-8949-14a3c9e2f935,3.0,
0.0,2022-04-14 14:28:44.695,2022-04-14 14:28:44.695,0.0,1.0,0.0,3JD7PDJoKB,com.sec.android.app.shealth,0.0,bafc66d4-c1b8-4118-8aed-4da4980c709c,fabbebc4-f905-4018-8a6c-1466725e2627,0.0,
0.0,2022-04-08 09:06:09.880,2022-04-08 09:06:09.880,1.0,0.0,0.0,3JD7PDJoKB,com.sec.android.app.shealth,0.0,420d0fc2-3e35-4549-b405-1eb7b2afe6e2,dd8d1d67-1535-4793-aa83-8a126ff4b3df,0.0,
0.0,2022-04-15 18:11:18.830,2022-04-15 18:11:18.830,0.0,0.0,0.0,3JD7PDJoKB,com.sec.android.app.shealth,1.0,54b90e60-7fb9-4076-aaa7-57fa26757e17,2289b6bb-1df4-45fe-9950-43214dc45793,0.0,
0.0,2022-04-09 11:07:03.995,2022-04-09 11:07:03.995,1.0,0.0,0.0,3JD7PDJoKB,com.sec.android.app.shealth,0.0,151da015-d2be-4381-b8f2-acf93a4af411,87e9771c-1090-433a-8682-07532803f02d,0.0,
0.0,2022-04-10 07:56:05.733,2022-04-10 07:56:05.733,0.0,1.0,0.0,3JD7PDJoKB,com.sec.android.app.shealth,0.0,21207087-475d-405b-950c-ef53d5e06eaf,2690c9a7-34b5-4855-8f95-d62d30fa3192,0.0,
0.0,2022-04-10 12:32:40.818,2022-04-10 12:32:40.818,0.0,0.0,0.0,3JD7PDJoKB,com.sec.android.app.shealth,0.0,004a1044-0f51-47c3-b692-ba650aef1355,fac3b80b-a34c-4490-b253-560650423e78,1.0,
0.0,2022-04-11 06:01:03.627,2022-04-11 06:01:03.627,0.0,0.0,1.0,3JD7PDJoKB,com.sec.android.app.shealth,0.0,73b5008a-61de-4a3e-9334-1dfd42592fb3,3f0fd6fa-104b-47db-a79b-742cdd4b4cb6,0.0,
0.0,2022-04-11 19:00:20.144,2022-04-11 19:00:20.144,0.0,1.0,0.0,3JD7PDJoKB,com.sec.android.app.shealth,0.0,ae9490ce-10bc-4e88-8c2b-8e5ebb69ee01,c1ad1a8e-fbbc-4ca2-aad6-f3de727fe894,0.0,
0.0,2022-04-14 14:30:00.366,2022-04-14 08:31:51.176,0.0,1.0,0.0,3JD7PDJoKB,com.sec.android.app.shealth,0.0,3c743b5e-96c4-4d4b-a203-c8ac682793f7,ebd28148-bed9-4df0-92f2-4c945f587dcd,1.0,
0.0,2022-04-14 14:28:44.698,2022-04-14 14:28:44.698,0.0,1.0,0.0,3JD7PDJoKB,com.sec.android.app.shealth,0.0,59527fdf-577b-494c-8a1f-0b43a93ab1e8,0f3f9ddf-fa6a-4e77-a31b-f1eb4126debc,0.0,
0.0,2022-04-15 19:53:56.093,2022-04-15 19:53:56.093,0.0,1.0,0.0,3JD7PDJoKB,com.sec.android.app.shealth,0.0,e90a8fbb-6c45-4968-af44-63446bbe5486,d94a52ec-e789-4359-aaa5-121cf7890fff,0.0,
